时间,客运量当期值(万人),客运量累计值(万人),客运量同比增长(%),客运量累计增长(%),铁路客运量当期值(万人),铁路客运量累计值(万人),铁路客运量同比增长(%),铁路客运量累计增长(%),公路客运量当期值(万人),公路客运量累计值(万人),公路客运量同比增长(%),公路客运量累计增长(%),水运客运量当期值(万人),水运客运量累计值(万人),水运客运量同比增长(%),水运客运量累计增长(%),民航客运量当期值(万人),民航客运量累计值(万人),民航客运量同比增长(%),民航客运量累计增长(%)
2013年1月,332321,332321,4,4,18757,18757,16.5,16.5,309398,309398,3.4,3.4,1599,1599,-5.4,-5.4,2567,2567,0,0
2013年2月,340019,672346,7.8,5.9,14044,32801,2.3,10,321130,630527,8,5.7,2058,3657,7.2,1.3,2787,5361,18.5,9
2013年3月,323931,996697,6.3,6.1,16854,50066,16.6,13.1,302412,932940,5.7,5.7,1787,5445,1.5,1.4,2878,8246,14.9,11.1
2013年4月,323560,1320263,5.9,6.1,17502,67568,6.4,11.3,301245,1234184,5.9,5.8,1964,7409,1.8,1.5,2849,11102,9.2,10.7
2013年5月,327183,1647426,4.8,5.8,16232,83799,9.1,10.8,305909,1540093,4.6,5.5,2187,9596,-2.1,0.7,2855,13937,12.1,10.6
2013年6月,324714,1972139,5.3,5.7,18043,101843,11.2,10.9,301530,1841623,4.9,5.4,2275,11871,0.4,0.6,2865,16803,13,11
2013年7月,330426,2302564,6.3,5.8,19931,121774,10.8,10.9,304765,2146388,6,5.5,2463,14333,2.6,1,3266,20069,9,10.7
2013年8月,337513,2640077,6.1,5.8,20287,142061,9.6,10.7,311055,2457442,5.8,5.5,2695,17029,1.8,1.1,3476,23545,13.1,11
2013年9月,339643,2979720,5.9,5.8,19197,161258,13.5,11,315035,2772477,5.4,5.5,2362,19391,5.7,1.6,3049,26594,10.9,11
2013年10月,352720,3332439,5.1,5.8,16407,177665,8.8,10.8,330585,3103062,4.9,5.5,2563,21954,2.2,1.7,3165,29758,11.8,11.1
2013年11月,334700,3667139,5.1,5.7,15557,193222,9.7,10.7,314156,3417218,4.9,5.4,2135,24089,1,1.6,2851,32610,10.3,11
2013年12月,,4019061,,5.6,17375,210597,16.8,10.8,,3746854,,5.3,,26207,,1.8,2793,35403,9,10.9
2014年1月,184129,184129,8.2,8.2,19050,19050,1.6,1.6,160515,160515,8.8,8.8,1507,1507,9.4,9.4,3058,3058,19.1,19.1
2014年2月,198501,382707,-2.9,2.1,15975,35025,10.5,5.5,177477,337992,-4.3,1.5,1940,3448,11.6,10.6,3109,6242,11.5,16.6
2014年3月,176338,559043,0.6,1.6,18054,53079,7.1,6,153345,491336,-0.3,0.9,1914,5361,13.9,11.8,3025,9267,5.1,12.6
2014年4月,177888,736932,1.5,1.6,19843,72922,13.4,7.9,152801,644137,-0.1,0.7,2102,7464,8.1,10.7,3142,12409,10.3,12
2014年5月,181383,918314,5.5,2.3,19037,91959,17.3,9.7,156821,800958,4.1,1.3,2391,9854,11.9,11,3134,15543,9.8,11.5
2014年6月,178852,1097166,2.8,2.5,19456,111415,7.8,9.4,153972,954929,2.1,1.5,2363,12218,8.2,10.5,3061,18604,6.8,10.7
2014年7月,191995,1289162,5.6,2.9,22386,133801,12.3,9.9,163463,1118393,4.5,1.9,2566,14784,15.1,11.2,3580,22183,9.6,10.6
2014年8月,194218,1483385,5,3.2,23515,157316,15.9,10.7,164096,1282489,3.3,2.1,2877,17660,20.3,12.6,3730,25919,7.4,10.1
2014年9月,187586,1670972,4.5,3.3,20986,178302,9.3,10.6,160898,1443387,3.7,2.2,2387,20048,14.6,12.9,3315,29235,8.7,10
2014年10月,190469,1861441,5,3.5,17919,196221,9.2,10.4,166485,1609872,4.4,2.5,2577,22625,12.4,12.8,3488,32723,10.2,10
2014年11月,167727,2029168,5.2,3.6,17056,213277,9.6,10.4,145429,1755301,4.5,2.6,2002,24627,8.9,12.5,3240,35963,13.6,10.3
2014年12月,,2206656,,3.9,22427,235704,29.1,11.9,,1905349,,2.8,,26437,,12.3,3193,39166,14.3,10.6
2015年1月,172607,172607,-5.5,-5.5,17850,17850,1.3,1.3,150028,150028,-6.5,-6.5,1483,1483,-1.6,-1.6,3246,3246,3.6,3.6
2015年2月,201160,373766,-0.3,-2.8,19290,37139,0.8,1,176259,326287,-0.7,-3.5,2118,3601,9.1,4.4,3493,6739,12.4,7.9
2015年3月,192082,565847,9.2,1,21554,58693,22.9,8.1,164761,491048,7.4,-0.1,2097,5697,9.6,6.3,3670,10409,21.3,12.3
2015年4月,179166,745014,1,1,21091,79784,9,8.3,152213,643261,-0.4,-0.1,2283,7981,8.6,6.9,3579,13988,13.9,12.7
2015年5月,182213,927227,0.4,0.9,21219,101004,10.8,8.8,154928,798190,-1.2,-0.3,2524,10504,5.6,6.6,3541,17530,12.9,12.7
2015年6月,178229,1105457,0,0.7,20614,121618,9.7,9,151864,950054,-1.4,-0.5,2347,12851,-0.7,5.2,3404,20934,11.1,12.5
2015年7月,193723,1299179,1,0.8,24776,146393,11.6,9.4,162547,1112601,-0.6,-0.5,2485,15336,-3.2,3.7,3915,24849,9.2,11.9
2015年8月,195179,1494358,0.7,0.7,25539,171932,10,9.5,162565,1275165,-0.9,-0.6,2910,18247,1.2,3.3,4165,29014,11.6,11.9
2015年9月,185996,1680354,0,0.7,21802,193734,12.6,9.8,158050,1433215,-1.8,-0.7,2472,20718,3.5,3.3,3672,32687,10.5,11.7
2015年10月,195377,1875731,1.3,0.8,22686,216420,11.4,10,166255,1599470,-0.1,-0.6,2581,23299,0.1,3,3855,36542,10.3,11.6
2015年11月,168012,2043743,0.1,0.7,18816,235236,9.6,10,143712,1743182,-1.2,-0.7,1986,25285,-0.8,2.7,3498,40040,7.6,11.2
2015年12月,,2214500,,0.5,18200,253500,10.5,10,,1890400,,-0.9,,27100,,3.1,3500,43600,10.3,11.1
2016年1月,152065,152065,0.3,0.3,21161,21161,18.6,18.6,125642,125642,-2.6,-2.6,1526,1526,2.9,2.9,3736,3736,15.1,15.1
2016年2月,175722,327788,-0.1,0.1,24112,45273,25,21.9,145489,271131,-3.6,-3.2,2224,3750,5,4.1,3898,7634,11.6,13.3
2016年3月,159371,487158,-5.7,-1.9,21242,66515,-1.4,13.3,132233,403364,-6.7,-4.3,2002,5752,-4.5,1,3894,11527,6.1,10.7
2016年4月,153500,640700,-2.5,-2,23900,90400,13.1,13.3,123400,526800,-5.4,-4.6,2200,8000,-2,0.1,4000,15500,10.9,10.8
2016年5月,153512,794164,-4.2,-2.5,22886,113257,7.9,12.1,124292,651085,-6.5,-5,2437,10426,-3.4,-0.7,3897,19396,10,10.5
2016年6月,150600,944796,-3.8,-2.7,23200,136484,12.7,12.2,121200,772314,-6.9,-5.3,2300,12772,0,-0.6,3800,23226,12.5,10.8
2016年7月,165607,1110400,-3,-2.7,26818,163302,8.2,11.5,131949,904263,-5.4,-5.3,2487,15300,0.1,-0.5,4353,27580,10.9,10.8
2016年8月,167882,1278286,-2.4,-2.7,28007,191309,9.7,11.3,132330,1036593,-5,-5.3,2903,18162,-0.3,-0.5,4642,32222,11.5,10.9
